name,description,has_scripts,has_validator
tableagent-answer-validation,"Use immediately before finalizing a spreadsheet or tabular time-series answer after structured evidence exists. Validate the requested answer contract, fields, canonical source entity labels, entity-row completeness, units, and recomputability. Supports free text, numeric, choice, yes/no, JSON object, and JSON array outputs. Do not use as the primary analysis method or with expected Gold values.",True,True
tableagent-calendar-lag-correlation,"Use when a grouped regular time series asks for Pearson correlation between a current response and the same or another predictor at one or more explicit calendar lags, followed by lag or group selection. Requires one prepared row per group-period and declared lags/frequency. Do not use for retained-row shifts, unknown-lag discovery outside a finite set, regression coefficients, scaling relations, or causal claims.",True,False
tableagent-composite-key-join-validation,"Use before aggregating two local tables whose records must be paired on one or more identifiers, especially event-entity or entity-period keys. Requires explicit candidate keys and an expected join cardinality. Do not use for unions, fuzzy entity resolution, relation-path discovery, or already-validated materialized joins.",True,True
tableagent-consecutive-state-runs,"Use when a grouped time-series task defines high/low or boolean states from period values and asks for consecutive runs, longest duration, run boundaries, or run summaries. Requires one retained row per group-period and an explicit threshold rule and calendar frequency. Do not use for source rows that already contain start/end intervals, inferred spike episodes, or nonconsecutive counts.",True,False
tableagent-derived-calculation,"Use for spreadsheet QA requiring totals, averages, counts, filtered sums, growth, shares, differences, cumulative values, or unit conversion when source rows, numeric fields, units, and filters can be identified. Establish operation and evidence before calculating. Do not use for direct lookup, start/end interval duration, statistical tests, or unresolved ambiguous wording.",True,True
tableagent-directional-delta-validation,"Use when a tabular question asks for change, gain, improvement, decline, swing, before-after difference, or rank movement and the sign depends on an explicit source-to-target orientation. Requires two comparable values and a declared direction rule. Do not use for ratios, growth rates, unsigned distances only, or unresolved field bindings.",True,False
tableagent-distribution-comparison,"Use for two numeric time-series questions asking whether samples share an exact distribution, a location-scale distribution family, or a Gaussian-white-noise family when both have sufficient observations. Distinguish parameter equality from family equality before testing. Do not use for lag, scaling, Granger causality, stationarity, or residual-noise presence unless distribution equality is explicit.",True,True
tableagent-event-period-response,"Use when event periods are explicitly defined by an event flag, count, or rate and the task asks for same-group change relative to a specified previous or next calendar period. Requires prepared group-period metric and event columns. Do not use to infer events from metric spikes, estimate event episodes, compare arbitrary distant windows, or discover an unknown lag.",True,False
tableagent-forward-fill-imputation,"Use when a regular grouped time series asks to fill specified missing periods with the most recent strictly earlier observed value, including an explicit holdout evaluation where an observed target is temporarily hidden and compared with the imputation. Requires unique group-period rows, period frequency, target mode, target periods, and no unresolved duplicate grain. Do not use for interpolation, seasonal baselines, backward fill, extrapolating before the first observation, or overwriting observed values outside an explicit holdout evaluation.",True,True
tableagent-granger-causality,"Use only for aligned tabular time-series questions explicitly asking whether one numeric series Granger-causes another. Test both directions over the same justified lags and preserve transformation provenance. Do not use for correlation, physical causality, lag-copy detection, unaligned tables, or vague lead-lag wording.",True,False
tableagent-grouped-anomaly-scoring,"Use when a tabular task asks to score or rank period-level observations as distributional anomalies within each entity/group using an explicitly requested IQR or median-MAD rule. Requires prepared group, period, and numeric value columns. Do not use for adjacent jumps, episode segmentation, residual-noise classification, rolling thresholds, or unspecified anomaly methods.",True,False
tableagent-grouped-event-contrast,"Use when prepared grouped records contain an explicit event indicator and the task asks for event versus non-event means, counts, signed effects, or ranked absolute effects. Requires one row per declared analysis unit, numeric values, an explicit event rule, and minimum sample sizes. Do not use to infer events from outcome spikes, compare before/after periods, estimate event windows, or include unmatched records whose event status is unknown.",True,False
tableagent-grouped-linear-trend,"Use when a tabular time-series task asks for a signed ordinary-least-squares trend slope separately by group over equally defined period aggregates, with enough retained periods and an explicit period index origin. Requires one unique numeric observation per group-period. Do not use for nonlinear forecasting, rolling regression, causal claims, raw irregular timestamps, or data that still needs period aggregation.",True,True
tableagent-grouped-ols-regression,"Use when a tabular task requests per-group OLS slope, intercept, R2, sample size, or ranking for a numeric response and predictor, optionally with an explicitly specified calendar lag. Requires prepared group-period predictor/response columns. Do not use for testing whether two series are scaled copies, discovering an unknown lag, Granger causality, multivariate regression, or causal claims.",True,False
tableagent-grouped-period-volatility,"Use when a validated one-row-per-group-period table must be compared by sample standard deviation across period values, with a minimum retained-period count and tie-complete extremum selection. Do not use for raw-row variance, population standard deviation, rolling volatility, quantile spread, or data that still needs period aggregation.",True,True
tableagent-grouped-two-period-aggregate,"Use for grouped tabular time-series questions that compare a mean or binary-event rate across two explicit, non-overlapping half-open windows and then select signed or absolute change extrema. Requires one validated row per analysis unit, group/time/value columns, a split boundary, and minimum counts. Do not use for rank movement, percentage growth, rolling windows, or unresolved analysis grain.",True,True
tableagent-lag-direction-validation,"Use for two-series questions whose target is lead/lag direction, delay, shifted-copy alignment, or lag magnitude. Verify direction with direct equations. Do not use as the regression executor when lag is already specified by the question; use grouped OLS with an explicit calendar lag instead. Also exclude Granger causality, generic correlation, unequal-pattern series, and calendar alignment without value-shift claims.",False,False
tableagent-linear-interpolation-holdout,"Use when a grouped regular time series asks to hold out an observed target period, interpolate it from the immediately adjacent calendar periods, and compare the imputation with the held-out value. Requires one prepared row per group-period and an explicit target/frequency. Do not use for forward fill, seasonal imputation, irregular interpolation, extrapolation, or missing targets without both adjacent periods.",True,False
tableagent-metric-binding,"Use for spreadsheet QA that must bind question wording to entity rows, metric columns, units, or periods when table headers, aliases, merged cells, or similarly named fields create competing candidates. Resolve candidates before lookup or calculation. Do not use when the exact row and value column are already unambiguous.",False,False
tableagent-noise-structure-diagnosis,"Use for tabular time-series questions asking whether the raw series is white noise, whether residual noise is practically significant, what residual noise type is present, or whether residual variance is additive or multiplicative. Select the analysis target before selecting a signal model. Do not use for MAD/IQR anomaly ranking, raw-series distribution equality, stationarity, Granger causality, or generic variance lookup.",True,True
tableagent-one-step-linear-trend-forecast,"Use when a regular tabular time series asks for a one-period-ahead forecast obtained by fitting an ordinary least-squares line to an explicit historical window, separately by group if requested. Requires one validated value per group-period, a regular calendar frequency, at least two training periods, and an explicit forecast period. Do not use for multi-step recursive forecasts, nonlinear models, model selection, irregular timestamps, causal regression, or data that still needs aggregation.",True,True
tableagent-period-bucket-aggregation,"Use when raw or analysis-unit time-series rows must be converted into reproducible calendar-period aggregates with explicit within-unit and period-level aggregation, minimum observations per period, and minimum retained-period coverage. Requires a validated analysis grain, parseable timestamps, grouping keys, measure semantics, aggregation functions, and a half-open window. Do not use for rolling windows, irregular episodes, direct lookup, or already validated one-row-per-group-period data.",True,True
tableagent-periodicity-event-count,"Use for tabular time-series questions about recurring cycles, period length, period change, repeated peaks, square-wave edge intervals, or recurring-event counts around an anchor when ordered timestamps and enough repeated cycles are available. Do not use for isolated transitions, anomalous-row counts, or event morphology without recurring structure.",True,True
tableagent-quantile-range,"Use for grouped tabular questions that require continuous empirical quantiles and a quantile range such as p90 minus p10, with an explicit observation window and minimum group size. Requires finite numeric source values and declared quantile probabilities/interpolation convention. Do not use for mean differences, standard deviation, categorical percentiles, approximate sketches, or distribution-equality tests.",True,True
tableagent-ranking-filtering,"Use for tabular questions involving top/bottom K, extrema, explicit ranks, threshold predicates, ties, or filtered entity selection when a raw comparison field can be materialized. Select on unrounded values and validate result-set completeness. Do not use for direct lookup, unfiltered whole-table calculations, or unresolved metric bindings.",True,True
tableagent-relational-schema-planning,"Use for local multi-table analysis when relevant tables must be selected from a catalog with distractors, or when a safe join path and analysis grain must be established before computation. Requires readable schemas and question-stated entity, measure, time, and population concepts. Do not use for one-table tasks, already materialized analysis-unit tables, or questions that explicitly provide the complete tables, keys, cardinalities, and target grain.",True,True
tableagent-robust-change-candidates,"Use only for candidate timestamps of abrupt adjacent rises, drops, jumps, or spikes in an ordered numeric series, using robust first-difference scores. Produce candidates rather than a final selected model. Do not use for level anomalies scored against a group's IQR/MAD, exhaustive two-segment SSE change-point fitting, distinct-event counts, recurring periods, or final event classification.",False,False
tableagent-role-aware-field-binding,"Use when related tables contain similarly named columns that represent different stages, roles, populations, units, or null semantics and the requested measure must be bound before calculation. Requires headers plus sample values or metadata. Do not use when the exact field and semantic role are explicit or for choosing join keys.",True,True
tableagent-rolling-origin-model-selection,"Use when a grouped regular time series asks to choose among a finite set of one-step forecasting rules using a declared validation block before a target period. Requires one prepared value per group-period and explicit target, frequency, validation length, validation mode (fixed pre-validation fit or expanding rolling origin), candidate models, and tie rule. Do not use for unconstrained model search, random splits, multivariate forecasting, or validation that overlaps the target/future.",True,True
tableagent-scaling-relation,"Use for two-series tabular time-series questions asking whether one series is a scaled, proportional, sign-flipped, or affine copy of another after alignment. Estimate both directions and residual error. Do not use for ordinary grouped OLS slope/intercept/R2 estimation, predictor-response regression, lag construction, Granger causality, distribution equality, or segment amplitude comparison.",True,False
tableagent-seasonal-median-holdout,"Use when a grouped monthly or quarterly series asks to hold out an observed target and impute it with the median of the same calendar season from other years, with a minimum donor count and error ranking. Requires one prepared row per group-period and an explicit target. Do not use for adjacent-period interpolation, rolling medians, forward fill, donors from the target year, or season definitions not implied by the declared frequency.",True,False
tableagent-seasonal-naive-holdout,"Use when a grouped regular time series asks to forecast an observed target period using the value from an explicit seasonal calendar offset, then evaluate and rank holdout errors. Requires one prepared row per group-period, a target, frequency, and seasonal lag. Do not use for previous-retained-row lookup, learned seasonal models, multi-step recursive forecasting, or targets without the exact reference period.",True,False
tableagent-service-duration-aggregation,"Use for tabular questions computing tenure, service, term, elapsed time, or occupancy duration from explicit start/end endpoints when each source row is already an interval. Resolve endpoint granularity, inclusive coverage, and ongoing rows explicitly. Do not use for consecutive high/low time-series states, runs inferred from adjacent observations, a supplied duration column, event gaps, or observation counts.",True,True
tableagent-sparse-event-universe,"Use when event, response, maintenance, failure, vote, comment, or attendance rows are stored sparsely and a rate, mean, count, or comparison must include eligible parent/time units with no child rows as explicit zeros. Requires a complete parent or entity-time universe, matching keys, an event definition, and semantics that absence means zero. Do not use when every analysis unit already has an indicator row, missing means unknown, or the question only analyzes observed child events.",True,True
tableagent-stationarity-diagnosis,"Use for ordered numeric time-series questions explicitly asking about mean stability, variance stability, covariance stationarity, stationarity after differencing, seasonal stationarity, or stationary versus non-stationary anomalies when multiple comparable windows are available. Do not use for a single full-series variance, distribution equality, noise type, Granger causality, or periodicity without a stationarity claim.",True,True
tableagent-temporal-alignment,"Use for tabular time-series QA that must construct an explicit regular period index, map requested periods to previous or same-season periods, detect missing periods, or align multiple tables on a common month, quarter, or year key. Requires parseable period fields, a declared calendar frequency, and entity keys. Do not use to choose an imputation value, detect value-shift lags, segment events, or answer a timeless lookup.",True,True
tableagent-temporal-event-segmentation,"Use for ordered tabular time-series questions asking for distinct spikes or episodes that must be inferred from numeric movement using explicit threshold, adjacency, recovery, and persistence rules. Do not use when event periods are already defined by an event flag/rate, for previous-period event responses, for consecutive threshold states, anomalous-row counts, optimal SSE change points, or recurring-cycle peaks.",True,True
tableagent-temporal-snapshot-selection,"Use when a tabular question needs one reproducible record per entity at a final period, exact anchor, latest period at or before an anchor, or earliest period at or after it. Requires a prepared table with group and ordered time/round fields. Do not use for rolling windows, event segmentation, interpolation, or whole-window aggregation.",True,False
tableagent-time-window-coverage,"Use for tabular time-series analysis that depends on a start/end period, before/after boundary, named phase, anchor time, ordinal round, or full-record claim when an ordered time or period field is available. Materialize endpoint inclusion and coverage before aggregation. Do not use for timeless filters, one-record snapshots, or conclusions independent of the selected window.",True,False
tableagent-trailing-window-threshold,"Use when a grouped regular time series asks for trailing-window means or sums, a threshold estimated from a declared reference period, and ranked exceedances. Requires one prepared row per group-period, a fixed calendar window, threshold rule, and cutoff. Do not use for centered windows, anomaly episodes, change points, arbitrary rolling rows, or thresholds fitted using evaluation periods.",True,False
tableagent-two-level-change-point,"Use when a grouped ordered series asks for one change point chosen by exhaustively fitting two constant levels and minimizing total within-segment squared error, with a minimum number of observations on each side. Requires prepared group-period values, the calendar frequency, output period field, and an explicit tie rule. Do not use for adjacent jump candidates, multiple change points, gradual trends, threshold episodes, or unspecified detectors.",True,True
tableagent-two-period-rank-reversal,"Use when groups must be densely ranked on the same aggregate in two explicit time windows and rank movement is defined from the two ranks. Requires validated analysis-unit rows, common group/time/value fields, minimum period counts, and an ascending or descending rank rule. Do not use for top-K in one table, raw score changes without ranks, rolling ranks, or unresolved ties.",True,True
